종목코드,종목명,매매건수,승률(%),손익비,총수익률(%),MDD(%)
SOXL,SOXL(반도체 3배 레버리지),46,43.48,2.01,96.32,-57.85
전체,전체 합산(균등비중),46,43.48,2.01,96.32,-57.85
