Date,Open,High,Low,Close,Volume,Adj Close,Change
2010-03-11,0.6424999833106995,0.6604999899864197,0.6424999833106995,0.6604999899864197,3702000,0.600864052772522,
2010-03-12,0.6610000133514404,0.6653329730033875,0.6441670060157776,0.6441670060157776,4548000,0.586005449295044,-0.024728212291082574
2010-03-15,0.6311669945716858,0.6380000114440918,0.6141669750213623,0.6238330006599426,534000,0.5675075650215149,-0.031566356497521264
2010-03-16,0.6316670179367065,0.6751670241355896,0.630666971206665,0.6744999885559082,1260000,0.6136000156402588,0.08121883235155214
2010-03-17,0.699999988079071,0.7070000171661377,0.6861670017242432,0.6988329887390137,2610000,0.6357359886169434,0.036075612447676875
2010-03-18,0.6988329887390137,0.7008330225944519,0.6721670031547546,0.681833028793335,1584000,0.6202709078788757,-0.024326212728385532
2010-03-19,0.6733329892158508,0.6736670136451721,0.6396669745445251,0.650833010673523,1596000,0.592069685459137,-0.04546570320108123
2010-03-22,0.6380000114440918,0.7003329992294312,0.6343330144882202,0.6978330016136169,3804000,0.6348262429237366,0.07221513071602725
2010-03-23,0.7076669931411743,0.7455000281333923,0.7073330283164978,0.7428330183029175,6114000,0.6757631301879883,0.06448536624843748
2010-03-24,0.7356669902801514,0.7356669902801514,0.6980000138282776,0.7016670107841492,2034000,0.6383140683174133,-0.055417579058099076
2010-03-25,0.7319999933242798,0.7425000071525574,0.6974999904632568,0.6981670260429382,2034000,0.6351300477981567,-0.00498809932263955
2010-03-26,0.7168329954147339,0.7204999923706055,0.6735000014305115,0.6871669888496399,2322000,0.6251232624053955,-0.015755595413384338
2010-03-29,0.7093330025672913,0.7136669754981995,0.7006670236587524,0.7056670188903809,1380000,0.6419529318809509,0.02692217516401829
2010-03-30,0.7166669964790344,0.7266669869422913,0.6981670260429382,0.7191669940948486,1920000,0.6542341113090515,0.019130800849522123
2010-03-31,0.7246670126914978,0.7300000190734863,0.7041670083999634,0.7080000042915344,1080000,0.6440752744674683,-0.015527672842340468
2010-04-01,0.7278329730033875,0.7571669816970825,0.6984999775886536,0.710332989692688,1644000,0.646197497844696,0.0032951771002998065
2010-04-05,0.7373329997062683,0.7733330130577087,0.6901670098304749,0.7705000042915344,1500000,0.7009322047233582,0.08470254862423965
2010-04-06,0.7558330297470093,0.7696670293807983,0.7471669912338257,0.7588329911231995,1998000,0.6903187036514282,-0.015142132515706619
2010-04-07,0.7628329992294312,0.7821670174598694,0.741832971572876,0.7663329839706421,3414000,0.6971414089202881,0.009883588266690113
