전략,매도체결건수,ATR스탑청산건수,ATR스탑평균수익률(%),총수익률(%),MDD(%),Calmar(총수익률/|MDD|)
스탑없음(기준선),29,0,,1821.44,-80.38,22.66
ATR x4스탑,36,25,-5.01,15.76,-47.12,0.33
ATR x5스탑,33,19,-5.77,22.08,-68.73,0.32
ATR x6스탑,30,15,-5.2,230.66,-70.98,3.25
ATR x8스탑,28,5,25.24,715.12,-82.68,8.65
