Date,Open,High,Low,Close,Volume,Change
2021-08-23,1447228,1474863,1441410,1467591,90921,
2021-08-24,1473409,1474863,1374503,1390502,219793,-0.05252757750626702
2021-08-25,1400684,1412320,1359958,1400684,136778,0.007322535314584266
2021-08-26,1402138,1403593,1375957,1387593,68806,-0.009346148024822143
2021-08-27,1377412,1387593,1371594,1377412,51753,-0.007337165869242601
2021-08-30,1384684,1387593,1354140,1377412,58695,0.0
2021-08-31,1368685,1403593,1365776,1403593,88580,0.019007384863787946
2021-09-01,1405047,1409411,1390502,1399229,46501,-0.0031091634113308286
2021-09-02,1399229,1399229,1378866,1378866,39189,-0.014553014553014498
2021-09-03,1380321,1397775,1378866,1383230,36787,0.003164919578842351
2021-09-06,1384684,1394866,1377412,1387593,26466,0.0031542115194147513
2021-09-07,1381775,1386139,1375957,1381775,26476,-0.004192872117400381
2021-09-08,1374503,1381775,1352685,1354140,47425,-0.019999638146586785
2021-09-09,1345413,1352685,1322141,1327959,71170,-0.019334042270370833
2021-09-10,1336686,1359958,1336686,1345413,41085,0.013143478074247872
2021-09-13,1338140,1351231,1320686,1327959,31453,-0.012972968151786834
2021-09-14,1332322,1336686,1323595,1327959,37975,0.0
2021-09-15,1336686,1367230,1330868,1361412,52778,0.025191289791326454
2021-09-16,1361412,1370139,1332322,1332322,38403,-0.021367521367521403
2021-09-17,1333777,1357049,1329413,1357049,48971,0.01855932724971887
2021-09-23,1336686,1365776,1336686,1338140,34399,-0.013933911008371824
2021-09-24,1339595,1346867,1330868,1341049,32235,0.0021739130434783593
2021-09-27,1345413,1359958,1333777,1338140,35151,-0.002169197396963085
2021-09-28,1327959,1327959,1263961,1266870,123139,-0.05326049591223636
2021-09-29,1242143,1277051,1234871,1271233,70249,0.003443920844285575
2021-09-30,1261052,1282869,1259597,1271233,40702,0.0
2021-10-01,1268324,1284324,1265415,1272688,36692,0.0011445580786528797
2021-10-05,1234871,1249416,1173782,1181054,117435,-0.07200036458267856
2021-10-06,1189781,1197054,1138874,1150510,95957,-0.02586164561484916
2021-10-07,1160691,1198508,1160691,1185418,54871,0.030341326889814058
2021-10-08,1204326,1207235,1181054,1207235,41598,0.018404478420270376
2021-10-12,1221780,1227598,1194145,1213053,57318,0.004819277108433662
2021-10-13,1213053,1223235,1205781,1205781,30886,-0.005994791653785914
2021-10-14,1223235,1249416,1214508,1249416,41895,0.03618816352223164
2021-10-15,1256688,1266870,1243598,1263961,43372,0.011641438880244825
2021-10-18,1274142,1275597,1247961,1247961,31116,-0.012658618422562107
2021-10-19,1265415,1266870,1249416,1262506,20772,0.011655011655011593
2021-10-20,1265415,1290142,1262506,1272688,29596,0.00806491216675398
2021-10-21,1272688,1275597,1252325,1262506,26754,-0.008000389726311563
2021-10-22,1262506,1284324,1261052,1279960,29653,0.01382488479262678
2021-10-25,1275597,1278506,1252325,1275597,27297,-0.003408700271883447
2021-10-26,1277051,1293051,1265415,1278506,35139,0.0022805008164803464
2021-10-27,1301778,1320686,1298869,1306141,60395,0.021615072592541695
2021-10-28,1320686,1320686,1288687,1288687,52435,-0.013363028953229383
2021-10-29,1303232,1307596,1259597,1266870,38105,-0.01692963458155472
2021-11-01,1275597,1284324,1265415,1271233,27121,0.003443920844285575
2021-11-02,1262506,1284324,1262506,1271233,25029,0.0
2021-11-03,1274142,1279960,1253779,1271233,26080,0.0
2021-11-04,1282869,1293051,1256688,1258143,31561,-0.010297089518601199
2021-11-05,1258143,1269779,1236325,1256688,33680,-0.0011564663158321054
2021-11-08,1236325,1242143,1175236,1197054,66685,-0.04745330583247398
2021-11-09,1194145,1215962,1192690,1201417,26927,0.0036447812713544803
2021-11-10,1194145,1215962,1183963,1192690,39250,-0.007263922518159771
2021-11-11,1182509,1192690,1179600,1191236,27064,-0.001219092974704239
2021-11-12,1192690,1227598,1192690,1211599,31920,0.017094009919109254
2021-11-15,1229053,1269779,1221780,1256688,52670,0.03721445791883293
2021-11-16,1259597,1272688,1237780,1268324,31441,0.0092592592592593
2021-11-17,1262506,1266870,1229053,1236325,34349,-0.025229357798165153
2021-11-18,1229053,1237780,1213053,1223235,27073,-0.01058783086971471
2021-11-19,1242143,1297414,1236325,1297414,76782,0.06064165920693898
2021-11-22,1285778,1303232,1269779,1274142,47728,-0.017937219730941756
2021-11-23,1263961,1275597,1239234,1243598,41193,-0.023972210318787046
2021-11-24,1237780,1258143,1231962,1234871,28738,-0.0070175410381811965
2021-11-25,1229053,1243598,1229053,1231962,17065,-0.0023557116492329833
2021-11-26,1227598,1285778,1224689,1265415,49059,0.02715424664072441
2021-11-29,1291596,1338140,1274142,1285778,78122,0.016091954022988464
2021-11-30,1290142,1316323,1285778,1293051,82085,0.005656497466903332
2021-12-01,1294505,1330868,1288687,1295960,65590,0.0022497179152252134
2021-12-02,1288687,1303232,1258143,1297414,41072,0.0011219482082780452
2021-12-03,1274142,1314868,1268324,1309050,40292,0.008968609865470878
2021-12-06,1310505,1322141,1287233,1310505,32296,0.0011114930674915868
2021-12-07,1288687,1297414,1234871,1275597,64424,-0.02663705975940578
2021-12-08,1284324,1338140,1282869,1329413,95788,0.042188873131561166
2021-12-09,1329413,1336686,1309050,1332322,66419,0.002188183807439792
2021-12-10,1319232,1332322,1310505,1310505,27174,-0.016375170566874986
2021-12-13,1319232,1323595,1266870,1268324,53766,-0.032186828741591955
2021-12-14,1288687,1301778,1268324,1294505,51502,0.020642201834862428
2021-12-15,1307596,1326504,1301778,1314868,54624,0.01573033707865168
2021-12-16,1333777,1394866,1333777,1393411,196218,0.05973451327433632
2021-12-17,1386139,1406502,1371594,1389048,96368,-0.003131165176677997
2021-12-20,1397775,1399229,1352685,1359958,44591,-0.020942400838559916
2021-12-21,1361412,1374503,1343958,1351231,33235,-0.006417109940159871
2021-12-22,1330868,1345413,1306141,1310505,55299,-0.030139924261654794
2021-12-23,1310505,1316323,1282869,1303232,46935,-0.005549768982186287
2021-12-24,1303232,1313414,1287233,1287233,33980,-0.012276402052742719
2021-12-27,1287233,1304687,1287233,1288687,39316,0.001129554633854113
2021-12-28,1295960,1298869,1284324,1295960,62450,0.005643728849596519
2021-12-29,1307596,1316323,1285778,1294505,49199,-0.001122719837032049
2021-12-30,1394866,1394866,1303232,1313414,118946,0.014607127821059107
2022-01-03,1313414,1338140,1311959,1325050,31656,0.008859354323922153
2022-01-04,1311959,1325050,1287233,1291596,48883,-0.025247349156635623
2022-01-05,1281415,1282869,1240689,1252325,66564,-0.030405018287452124
2022-01-06,1252325,1259597,1214508,1218871,56392,-0.026713512866069156
2022-01-07,1218871,1236325,1218871,1227598,49628,0.007159904534606243
2022-01-10,1240689,1240689,1213053,1215962,33584,-0.009478672985781977
2022-01-11,1211599,1227598,1211599,1211599,28311,-0.0035881055493510727
2022-01-12,1224689,1253779,1218871,1246507,44901,0.028811512719967514
2022-01-13,1243598,1258143,1229053,1258143,42470,0.009334885403772253
2022-01-14,1249416,1253779,1226144,1236325,33843,-0.017341430982010797
2022-01-17,1218871,1236325,1195599,1201417,48881,-0.028235294117647025
2022-01-18,1201417,1208690,1170873,1172327,65778,-0.02421307506053272
2022-01-19,1165055,1201417,1163600,1186872,33003,0.012406947890818865
