이벤트일,1일수익률(%),3일수익률(%),3일변동성(%),5일수익률(%),5일변동성(%),10일수익률(%),10일변동성(%),20일수익률(%),20일변동성(%)
2022-03-16,1.14,-0.71,1.2,0.14,0.93,-0.71,0.75,-2.41,0.9
2022-04-21,-1.03,-2.36,0.43,-4.28,0.58,-1.77,1.69,0.44,1.45
2022-06-14,-1.94,-3.39,1.27,-5.49,1.04,-4.04,1.33,-6.14,1.51
2022-09-27,-2.4,-2.03,1.68,3.32,2.37,1.85,1.77,9.78,1.59
2023-08-23,1.64,-0.45,1.65,0.0,1.19,4.32,2.18,3.73,1.68
2024-09-11,2.16,-2.77,2.69,-3.54,1.93,-5.24,2.42,-8.01,1.97
2026-08-07,-0.43,10.61,3.6,18.83,2.7,,,,
