날짜,시가,고가,저가,종가,엔상1,엔상2,엔상3,엔상4,엔상5,엔하1,엔하2,엔하3,엔하4,엔하5,피4,피5,V1,V2
2026/07/29,218000,234000,189200,214000,263941.176470588,290064.74789916,321168.319327731,349781.890756303,378395.462184874,,237817.605042017,206714.033613445,178100.462184874,149486.890756302,245468.75,252161.057692308,291639.892637903,281462.136993537
2026/07/28,243000,247000,216000,218000,269852.941176471,296538.655462185,327520.798319328,356354.726890756,385188.655462185,,243167.226890756,212185.084033613,183351.155462185,154517.226890756,252537.5,257264.423076923,292898.89451789,284514.626855716
2026/07/27,255000,260000,246000,255000,274117.647058824,301496.218487395,332344.432773109,361457.825630252,390571.218487395,,246739.075630252,215890.861344538,186777.468487395,157664.075630252,260556.25,262617.788461539,290313.426120181,285099.784732021
2026/07/24,268000,269500,247000,252500,277705.882352941,305902.31092437,336516.596638656,365921.953781513,395327.31092437,,249509.453781513,218895.168067227,189489.81092437,160084.453781513,261018.75,264814.903846154,296718.200700382,291320.958740762
2026/07/23,265000,273000,257000,273000,282441.176470588,311434.033613445,341771.533613445,371436.712184874,401101.890756303,,253448.319327731,223110.819327731,193445.640756303,163780.462184874,261431.25,267723.557692308,300805.948611142,295953.842481435
2026/07/22,269000,276000,259000,260000,285500,315278.571428571,345235.714285714,375103.571428572,404971.428571429,,255721.428571429,225764.285714286,195896.428571429,166028.571428571,262325,270163.461538462,308931.491583895,302021.048667344
2026/07/21,249000,264000,243000,263500,290147.058823529,320468.487394958,350059.558823529,380015.808823529,409972.058823529,,259825.630252101,230234.558823529,200278.308823529,170322.058823529,264531.25,272742.788461539,313961.654547619,306191.659163803
2026/07/20,245500,257500,238500,251500,295794.117647059,326454.831932773,355679.831932773,385622.68907563,415565.546218487,,265133.403361345,235908.403361344,205965.546218487,176022.68907563,264150,274980.769230769,323394.024464577,314183.978545033
2026/07/16,269000,269000,251000,253500,300970.588235294,331949.159663866,360990.231092437,391000.052521008,421009.87394958,,269992.016806723,240950.945378151,210941.12394958,180931.302521008,270118.75,280584.134615385,329614.902181366,320652.271650926
2026/07/15,273000,284500,272500,273500,304323.529411765,335430.672268908,364330.672268908,394334.243697479,424337.81512605,,273216.386554622,244316.386554622,214312.81512605,184309.243697479,277175,287490.384615385,332432.629303142,324316.528247838
2026/07/14,250500,270000,240000,268000,309205.882352941,340309.453781513,369104.096638656,399053.203781513,429002.31092437,,278102.31092437,249307.668067227,219358.56092437,189409.453781513,279087.5,292572.115384615,339115.757948292,329824.091895751
2026/07/13,285000,292500,253000,257500,314058.823529412,345040.966386555,373826.680672269,403710.609243698,433594.537815126,,283076.680672269,254290.966386555,224407.037815126,194523.109243697,282793.75,297497.596153846,346781.828261469,337123.895634808
2026/07/10,285000,298000,282000,286500,320294.117647059,351142.331932773,380156.617647059,410087.867647059,440019.117647059,,289445.903361345,260431.617647059,230500.367647059,200569.117647059,292700,304307.692307692,344538.886358714,336794.814946232
2026/07/09,279500,291500,267500,282500,323617.647058824,354231.932773109,383424.789915966,413328.361344538,443231.932773109,273000,293003.361344538,263810.504201681,233906.932773109,204003.361344538,298406.25,308137.019230769,345939.909370121,337357.101033493
2026/07/08,289500,300000,262000,267000,327176.470588235,357513.970588235,386796.113445378,416605.93487395,446415.756302521,263000,296838.970588235,267556.827731092,237747.006302521,207937.18487395,301862.5,313639.423076923,348331.741770521,339663.044511355
2026/07/07,305000,317000,286000,291000,331558.823529412,361515.966386555,390876.680672269,420535.609243698,450194.537815126,258000,301601.680672269,272240.966386555,242582.037815126,212923.109243697,311262.5,321350.961538462,344527.075526839,339013.79742483
2026/07/06,315500,325000,303000,320000,333529.411764706,363120.483193277,392540.12605042,422045.483193277,451550.840336135,241000,303938.340336135,274518.697478992,245013.340336134,215507.983193277,319743.75,328420.673076923,341597.942929638,338066.088194487
2026/07/03,286000,315000,278000,314500,332705.882352941,361930.882352941,391523.739495798,420932.668067227,450341.596638656,231500,303480.882352941,273888.025210084,244479.096638656,215070.168067227,321462.5,330524.038461539,344866.31554078,340262.939592227
2026/07/02,307500,307500,281500,290500,331705.882352941,360746.953781513,390288.025210084,419579.096638656,448870.168067227,235000,302664.81092437,273123.739495798,243832.668067227,214541.596638655,323662.5,331370.192307692,348947.882669192,343769.625926231
2026/07/01,336000,340000,311500,316000,333852.941176471,362752.941176471,392263.655462185,421469.012605042,450674.369747899,230000,304952.941176471,275442.226890756,246236.869747899,217031.512605042,334687.5,337456.730769231,344707.481666092,342954.704928164
2026/06/30,325500,343000,321000,333000,333088.235294118,361882.878151261,391327.521008403,420447.163865546,449566.806722689,242000,304293.592436975,274848.949579832,245729.306722689,216609.663865546,339193.75,339939.903846154,340212.052366369,340349.93036541
2026/06/29,337000,345000,316000,325000,332852.941176471,361638.655462185,390895.798319328,419917.226890756,448938.655462185,242000,304067.226890756,274810.084033613,245788.655462185,216767.226890756,338850,340807.692307692,335562.325357744,336164.025979894
2026/06/26,358000,361000,321500,339000,333852.941176471,362867.226890756,391440.441176471,420234.191176471,449027.941176471,233500,304838.655462185,276265.441176471,247471.691176471,218677.941176471,343125,340875,327413.232188574,330109.814015985
2026/06/25,360500,369500,352000,359500,335235.294117647,364428.151260504,392363.865546218,420928.151260504,449492.43697479,259000,306042.43697479,278106.722689076,249542.43697479,220978.151260504,344525,340663.461538462,323201.953488528,327006.528939528
2026/06/24,305000,342000,300500,339500,334970.588235294,364252.731092437,391668.802521008,420017.909663866,448367.016806723,213500,305688.445378151,278272.37394958,249923.266806723,221574.159663866,343800,337365.384615385,321171.990492859,323181.840164224
2026/06/23,358500,362000,310000,310500,333735.294117647,363096.008403361,390156.722689076,418367.43697479,446578.151260504,214000,304374.579831933,277313.865546218,249103.151260504,220892.43697479,343212.5,336024.038461539,320812.467367922,322847.392785644
2026/06/22,351000,363000,342000,356500,332852.941176471,362272.584033613,388715.441176471,416646.691176471,444577.941176471,218000,303433.298319328,276990.441176471,249059.191176471,221127.941176471,346181.25,336954.326923077,310572.413608077,317314.977797115
2026/06/19,380000,380000,346000,350500,330323.529411765,359916.386554622,385730.672268908,413434.243697479,441137.81512605,255000,300730.672268908,274916.386554622,247212.81512605,219509.243697479,340993.75,333497.596153846,310781.211595041,317533.596618127
2026/06/18,346000,364000,341500,363500,327500,357041.071428571,382223.214285714,409584.821428572,436946.428571429,252500,297958.928571429,272776.785714286,245415.178571429,218053.571428571,336925,332201.923076923,307721.341133941,314928.21386469
2026/06/17,339500,348000,331000,343000,323352.941176471,352863.655462185,377388.655462185,404406.512605042,431424.369747899,273000,293842.226890756,269317.226890756,242299.369747899,215281.512605042,327393.75,326689.903846154,309080.710374856,314315.697199783
2026/06/16,348000,352500,332500,343000,320529.411764706,349974.054621849,373802.62605042,400439.233193277,427075.840336135,260000,291084.768907563,267256.197478992,240619.590336134,213982.983193277,321968.75,323987.980769231,306684.650583326,311449.254837657
2026/06/15,337500,345000,334000,341500,316852.941176471,346110.084033613,369349.369747899,395597.584033613,421845.798319328,263500,287595.798319328,264356.512605042,238108.298319328,211860.084033613,320306.25,322790.865384615,307536.078472251,311080.462873509
2026/06/12,313000,339000,313000,324500,312852.941176471,341426.155462185,364144.012605042,389789.548319328,415435.084033613,251500,284279.726890756,261561.869747899,235916.334033613,210270.798319328,317768.75,322603.365384615,307009.633187955,308373.267479565
2026/06/11,292000,308500,283000,306000,310323.529411765,338259.243697479,360398.529411765,385436.029411765,410473.529411765,253500,282387.81512605,260248.529411765,235211.029411765,210173.529411765,320125,323298.076923077,305512.156846291,305779.175588382
2026/06/10,319500,319500,295250,297500,308411.764705882,335827.836134454,357217.12184874,381619.800420168,406022.478991597,273500,280995.693277311,259606.407563025,235203.728991597,210801.050420168,324506.25,323656.25,301597.988238456,303007.011540382
2026/06/09,310000,327500,300000,327000,308147.058823529,335207.773109244,355575.630252101,379289.915966387,403004.201680672,268000,281086.344537815,260718.487394958,237004.201680672,213289.915966387,330881.25,322877.403846154,290454.977148308,295161.756488117
2026/06/08,304500,316000,290500,303000,305764.705882353,332207.56302521,351846.848739496,374887.920168067,397928.991596639,257500,279321.848739496,259682.56302521,236641.491596639,213600.420168067,332837.5,319975.961538462,285917.483095859,291086.437223647
2026/06/05,343000,346000,321000,329000,303970.588235294,329784.87394958,348617.016806723,370940.231092437,393263.445378151,286500,278156.302521008,259324.159663866,237000.945378151,214677.731092437,334356.25,319117.788461539,273983.160464355,283530.17429379
2026/06/04,359000,366500,338500,342000,301411.764705882,326593.907563025,344518.907563025,366072.478991597,387626.050420168,282500,276229.62184874,258304.62184874,236751.050420168,215197.478991597,328756.25,314733.173076923,263754.737894056,275834.438382254
2026/06/02,356000,377000,342000,362500,297558.823529412,322083.823529412,338933.823529412,359621.323529412,380308.823529412,267000,273033.823529412,256183.823529412,235496.323529412,214808.823529412,322968.75,309911.057692308,256650.092074459,269988.685841476
