종목코드,종목명,매매건수,승률(%),손익비,총수익률(%),MDD(%)
005930,삼성전자,11,36.36,8.17,138.97,-14.98
000660,SK하이닉스,16,31.25,5.8,125.8,-30.14
278470,에이피알,10,30.0,8.44,95.75,-18.72
010170,대한광통신,10,30.0,1.95,-27.1,-39.14
034020,두산에너빌리티,13,23.08,1.27,-34.87,-35.59
089030,테크윙,8,37.5,16.16,276.6,-10.31
090430,아모레퍼시픽,6,16.67,1.34,-7.6,-10.14
329180,HD현대중공업,13,30.77,2.66,-3.42,-46.35
267260,HD현대일렉트릭,15,53.33,6.76,609.25,-9.53
전체,전체 합산(균등비중),102,33.33,5.86,130.37,-7.26
