종목코드,종목명,매수일,매도일,매수가,매도가,수익률(%)
005930,삼성전자,2026-03-20,2026-03-27,202000,172100,-14.98
000660,SK하이닉스,2026-03-19,2026-03-31,1008000,817000,-19.12
034020,두산에너빌리티,2026-03-16,2026-03-31,108000,94900,-12.31
278470,에이피알,2026-04-10,2026-05-13,373000,424000,13.43
034020,두산에너빌리티,2026-04-16,2026-05-19,107800,111000,2.75
010170,대한광통신,2026-05-07,2026-06-05,19130,19100,-0.37
329180,HD현대중공업,2026-05-28,2026-06-09,744000,625000,-16.17
278470,에이피알,2026-06-12,2026-06-15,416500,404000,-3.2
278470,에이피알,2026-06-16,2026-06-23,416000,377500,-9.45
329180,HD현대중공업,2026-06-18,2026-06-24,706000,595000,-15.9
089030,테크윙,2026-06-11,2026-06-26,57300,51500,-10.31
005930,삼성전자,2026-04-09,2026-07-02,207000,290000,39.8
000660,SK하이닉스,2026-04-13,2026-07-08,999000,2118000,111.57
